,mom
10-Jan,44.0
10-Feb,108.7
10-Mar,119.2
10-Apr,96.8
10-May,111.4
10-Jun,117.8
10-Jul,108.0
10-Aug,118.4
10-Sep,117.6
10-Oct,87.3
10-Nov,93.2
10-Dec,111.8
11-Jan,47.5
11-Feb,104.0
11-Mar,118.0
11-Apr,103.6
11-May,113.5
11-Jun,109.5
11-Jul,112.5
11-Aug,120.8
11-Sep,117.9
11-Oct,83.2
11-Nov,92.7
11-Dec,114.4
12-Jan,48.4
12-Feb,105.3
12-Mar,115.4
12-Apr,105.3
12-May,114.0
12-Jun,109.0
12-Jul,111.8
12-Aug,121.6
12-Sep,113.7
12-Oct,83.1
12-Nov,93.2
12-Dec,115.2
13-Jan,49.8
13-Feb,104.7
13-Mar,114.7
13-Apr,101.3
13-May,108.3
13-Jun,112.0
13-Jul,112.5
13-Aug,123.1
13-Sep,110.4
13-Oct,86.8
13-Nov,90.6
13-Dec,119.3
14-Jan,48.1
14-Feb,107.5
14-Mar,114.8
14-Apr,102.5
14-May,107.5
14-Jun,110.2
14-Jul,113.8
14-Aug,123.0
14-Sep,111.8
14-Oct,86.1
14-Nov,87.4
14-Dec,119.1
15-Jan,48.4
15-Feb,110.0
15-Mar,112.5
15-Apr,104.0
15-May,106.8
15-Jun,116.3
15-Jul,109.2
15-Aug,123.3
15-Sep,109.3
15-Oct,86.0
15-Nov,85.6
15-Dec,121.1
16-Jan,50.4
16-Feb,110.2
16-Mar,113.8
16-Apr,103.5
16-May,106.2
16-Jun,112.3
16-Jul,103.1
16-Aug,124.1
16-Sep,109.9
16-Oct,81.4
16-Nov,95.9
16-Dec,117.4
17-Jan,53.5
17-Feb,109.9
17-Mar,114.1
17-Apr,100.1
17-May,112.1
17-Jun,108.2
17-Jul,106.6
17-Aug,118.9
17-Sep,108.9
17-Oct,92.6
17-Nov,88.8
17-Dec,121.8
18-Jan,52.4
