Date,M
8/1/2006,4.93
9/1/2006,4.94
10/1/2006,5.00
11/1/2006,5.00
12/1/2006,5.00
1/1/2007,5.95
2/1/2007,5.84
3/1/2007,5.84
4/1/2007,5.84
5/1/2007,5.84
6/1/2007,5.84
7/1/2007,5.75
8/1/2007,5.68
9/1/2007,6.40
10/1/2007,6.40
11/1/2007,6.53
12/1/2007,6.53
1/1/2008,6.89
2/1/2008,6.89
3/1/2008,6.89
4/1/2008,7.00
5/1/2008,6.99
6/1/2008,7.20
7/1/2008,7.49
8/1/2008,8.06
9/1/2008,8.39
10/1/2008,8.42
11/1/2008,8.77
12/1/2008,8.77
1/1/2009,9.54
2/1/2009,9.85
3/1/2009,10.61
4/1/2009,11.15
5/1/2009,11.51
6/1/2009,10.69
7/1/2009,9.28
8/1/2009,7.13
9/1/2009,7.40
10/1/2009,7.80
11/1/2009,8.95
12/1/2009,9.02
1/1/2010,9.21
2/1/2010,9.51
3/1/2010,9.50
4/1/2010,10.23
5/1/2010,13.93
6/1/2010,10.08
7/1/2010,9.09
8/1/2010,10.85
9/1/2010,12.07
10/1/2010,11.50
11/1/2010,11.53
12/1/2010,9.53
1/1/2011,9.53
2/1/2011,9.65
3/1/2011,9.65
4/1/2011,8.80
5/1/2011,10.46
6/1/2011,10.44
7/1/2011,10.44
8/1/2011,10.44
9/1/2011,9.25
10/1/2011,8.94
11/1/2011,9.11
12/1/2011,9.87
1/1/2012,9.87
2/1/2012,10.56
3/1/2012,9.24
4/1/2012,9.28
5/1/2012,9.25
6/1/2012,9.28
7/1/2012,9.34
8/1/2012,9.65
9/1/2012,9.84
10/1/2012,10.14
11/1/2012,10.36
12/1/2012,10.72
1/1/2013,10.64
2/1/2013,10.05
3/1/2013,9.64
4/1/2013,9.39
5/1/2013,9.39
6/1/2013,9.20
7/1/2013,8.99
8/1/2013,8.90
9/1/2013,9.19
10/1/2013,9.14
11/1/2013,9.14
12/1/2013,9.14
1/1/2014,9.14
2/1/2014,8.23
3/1/2014,8.19
4/1/2014,8.20
5/1/2014,8.07
6/1/2014,8.01
7/1/2014,7.86
8/1/2014,7.77
9/1/2014,7.51
10/1/2014,7.30
11/1/2014,7.29
12/1/2014,7.29
1/1/2015,7.29
2/1/2015,7.29
3/1/2015,13.98
4/1/2015,13.02
5/1/2015,12.92
6/1/2015,12.47
7/1/2015,12.11
8/1/2015,12.09
9/1/2015,12.22
10/1/2015,12.16
11/1/2015,12.28
12/1/2015,12.45
1/1/2016,11.87
2/1/2016,11.79
3/1/2016,11.41
4/1/2016,11.23
5/1/2016,10.50
6/1/2016,10.29
7/1/2016,9.67
8/1/2016,8.90
9/1/2016,8.62
10/1/2016,8.38
11/1/2016,7.58
12/1/2016,7.73
1/1/2017,7.76
2/1/2017,7.70
3/1/2017,7.30
4/1/2017,7.01
5/1/2017,6.74
6/1/2017,6.72
7/1/2017,6.45
8/1/2017,6.40
9/1/2017,6.29
10/1/2017,6.15
11/1/2017,6.10
12/1/2017,6.10
1/1/2018,6.17
2/1/2018,6.15
3/1/2018,6.16
