Month,Sales 
1/18/2018,266
1/19/2018,145.9
1/20/2018,183.1
1/21/2018,119.3
1/22/2018,180.3
1/23/2018,168.5
1/24/2018,231.8
1/25/2018,224.5
1/26/2018,192.8
1/27/2018,122.9
1/28/2018,336.5
1/29/2018,185.9
1/30/2018,194.3
1/31/2018,149.5
2/1/2018,210.1
2/2/2018,273.3
2/3/2018,191.4
2/4/2018,287
2/5/2018,226
2/6/2018,303.6
2/7/2018,289.9
2/8/2018,421.6
2/9/2018,264.5
2/10/2018,342.3
2/11/2018,339.7
2/12/2018,440.4
2/13/2018,315.9
2/14/2018,439.3
2/15/2018,401.3
2/16/2018,437.4
2/17/2018,575.5
2/18/2018,407.6
2/19/2018,682
2/20/2018,475.3
2/21/2018,581.3
2/22/2018,646.9
